CODE,Start time - A,End time - A,Start time - C,End time - C
AJU,00:04:03,00:04:44,00:04:06,00:05:25
AJU,00:04:54,00:05:27,00:04:06,00:05:25
ACE,00:06:53,00:07:05,00:06:52,00:07:00
AJU,00:07:13,00:07:21,00:06:57,00:07:13
AJU,00:07:13,00:07:21,00:07:13,00:07:27
ACX,00:07:29,00:07:54,00:07:30,00:07:54
ACX,00:09:30,00:10:50,00:09:43,00:10:07
ACE,00:13:46,00:13:54,00:13:46,00:13:54
ACE,00:14:18,00:14:26,00:14:20,00:14:32
ACE,00:14:25,00:14:33,00:14:20,00:14:32
ACE,00:23:13,00:23:21,00:23:12,00:23:20
ACE,00:23:52,00:24:00,00:23:52,00:24:00
PEX,00:23:57,00:24:05,00:24:04,00:24:12
PEX,00:24:04,00:24:12,00:24:04,00:24:12
AJU,00:00:06,00:04:02,00:00:14,00:00:27
AJU,00:00:06,00:04:02,00:00:39,00:00:51
AJU,00:00:06,00:04:02,00:00:47,00:01:23
AJU,00:00:06,00:04:02,00:01:28,00:01:44
AJU,00:00:06,00:04:02,00:02:30,00:02:48
AJU,00:00:06,00:04:02,00:02:45,00:03:18
AJU,00:00:06,00:04:02,00:03:14,00:03:54
AJU,00:06:57,00:07:13,00:06:58,00:07:12
AJU,00:23:19,00:23:34,00:23:23,00:23:31
AJU,00:24:06,00:24:20,00:24:09,00:24:17
ACE,00:24:16,00:24:33,00:24:17,00:24:25
ACE,00:24:16,00:24:33,00:24:20,00:24:28
