CODE,Start time - B,End time - B,Start time - C,End time - C
AJU,00:00:00,00:00:36,00:00:06,00:04:02
AJU,00:03:57,00:04:50,00:00:06,00:04:02
AJU,00:03:57,00:04:50,00:04:06,00:05:25
AJU,00:05:16,00:05:35,00:04:06,00:05:25
RAN,00:09:34,00:10:28,00:10:03,00:10:50
ACE,00:13:46,00:13:56,00:13:46,00:13:54
ACE,00:14:17,00:14:39,00:14:20,00:14:32
ACE,00:21:33,00:21:44,00:21:34,00:21:42
ACE,00:23:10,00:23:27,00:23:12,00:23:20
AJU,00:23:20,00:23:34,00:23:19,00:23:34
ACE,00:23:49,00:24:04,00:23:52,00:24:00
ACE,00:24:15,00:24:38,00:24:16,00:24:33
AJU,00:00:06,00:04:02,00:00:38,00:01:24
AJU,00:00:06,00:04:02,00:01:31,00:01:47
AJU,00:00:06,00:04:02,00:02:24,00:03:09
AJU,00:00:06,00:04:02,00:03:06,00:03:53
