CODE,Start time,End time
AJU,00:00:00,00:00:36
AJU,00:00:14,00:00:27
AJU,00:00:14,00:00:27
AJU,00:00:38,00:01:24
AJU,00:00:39,00:00:51
AJU,00:00:39,00:00:51
AJU,00:00:47,00:01:23
AJU,00:00:47,00:01:23
AJU,00:01:28,00:01:44
AJU,00:01:31,00:01:47
AJU,00:01:31,00:01:47
AJU,00:02:24,00:03:09
AJU,00:02:30,00:02:48
AJU,00:02:30,00:02:48
AJU,00:02:45,00:03:18
AJU,00:02:45,00:03:18
AJU,00:02:45,00:03:18
CON,00:02:58,00:03:06
AJU,00:03:06,00:03:53
CON,00:03:08,00:03:16
AJU,00:03:14,00:03:54
AJU,00:03:14,00:03:54
AJU,00:03:57,00:04:50
AJU,00:03:57,00:04:50
AJU,00:04:03,00:04:44
AJU,00:04:03,00:04:44
ACP,00:04:48,00:04:56
AJU,00:04:54,00:05:27
ACP,00:04:58,00:05:06
ACP,00:05:02,00:05:10
AJU,00:05:16,00:05:35
AJU,00:05:16,00:05:35
ACE,00:06:40,00:06:48
ACE,00:06:52,00:07:00
AJU,00:06:58,00:07:12
AJU,00:07:13,00:07:21
AJU,00:07:13,00:07:21
ACX,00:07:30,00:07:54
AJU,00:08:14,00:08:33
ACX,00:09:43,00:10:07
RAN,00:10:03,00:10:50
CON,00:11:09,00:11:39
ACX,00:11:36,00:11:53
AJU,00:12:31,00:12:52
AJU,00:13:24,00:13:35
ACE,00:13:46,00:13:54
ACE,00:13:46,00:13:54
ACE,00:13:46,00:13:54
ACE,00:14:18,00:14:26
ACE,00:14:18,00:14:26
ACE,00:14:20,00:14:32
ACE,00:14:25,00:14:33
ACE,00:14:25,00:14:33
ACE,00:14:43,00:14:51
ACE,00:14:50,00:14:58
ACE,00:14:57,00:15:05
AJU,00:15:02,00:15:10
ACE,00:21:34,00:21:42
CON,00:22:40,00:22:48
AJU,00:22:45,00:23:03
AJU,00:23:07,00:23:15
ACE,00:23:12,00:23:20
ACE,00:23:12,00:23:20
ACE,00:23:13,00:23:21
AJU,00:23:20,00:23:34
AJU,00:23:23,00:23:31
AJU,00:23:23,00:23:31
ACE,00:23:52,00:24:00
ACE,00:23:52,00:24:00
ACE,00:23:52,00:24:00
PEX,00:24:04,00:24:12
PEX,00:24:04,00:24:12
AJU,00:24:09,00:24:17
ACE,00:24:16,00:24:33
ACE,00:24:17,00:24:25
ACE,00:24:17,00:24:25
ACE,00:24:20,00:24:28
ACE,00:24:20,00:24:28
